id,description,en,fr
sysAdHome.user.resetPasswordModal.title,Title for reset user password modal,Reset password?,Réinitialiser le mot de passe?
sysAdHome.user.resetpassword.title,Title for reset user password,Reset Password,Réinitialiser le mot de passe
system.user.active,Pill label for active user,Active,Actif
system.user.deactivated,Pill label for deactivated user,Deactivated,Désactivé
system.user.disabled,Pill label for disabled user,Disabled,Handicapés
system.user.duplicateEmailError,This error message shows when user tries to input an already existing email,{email} is already used by another user. Please use a different email,{email} est déjà utilisé par un autre utilisateur. Veuillez utiliser une autre adresse e-mail
system.user.duplicateMobileError,This error messege shows when user try to input already exsisted mobile number,{number} is already used by another user. Please use a different phone number,{number} est déjà utilisé par un autre utilisateur. Veuillez utiliser un autre numéro de téléphone
system.user.emailAddressUnchangedError,Email address unchanged error message,This is already your email address. Please enter a different email address,Ceci est déjà votre adresse e-mail. Veuillez saisir une autre adresse e-mail
system.user.mobileNumberUnchangedError,Mobile number unchanged error message,This is already your phone number. Please enter a different phone number,Ceci est déjà votre numéro de téléphone. Veuillez saisir un autre numéro de téléphone
system.user.pending,Pill label for pending user,Pending,En attente
system.user.queryError,The text when error ocurred loading system users,An error occurred while loading system users,Une erreur s'est produite lors du chargement des utilisateurs du système
system.user.settings.avatarUpdated,Profile image change message on success,Profile image successfully updated,L'image du profil a été mise à jour avec succès
system.user.settings.avatarUpdating,Profile image message when uploading,Updating profile image,Mise à jour de l'image du profil
system.user.settings.emailAddressUpdated,Email change message on success,Email address updated,Adresse e-mail mise à jour
system.user.settings.incorrectPassword,Response message for incorrect password for password change,Current password incorrect. Please try again.,Le mot de passe actuel est incorrect. Veuillez réessayer.
system.user.settings.incorrectVerifyCode,Response message for incorrect Verify code for phone number change,Verify code incorrect. Please try again.,Code de vérification incorrect. Veuillez réessayer.
system.user.settings.language,Language name,"{language, select, en {English} fr {Français} other {{language}}}","{language, select, en {English} fr {Français} other {{language}}}"
system.user.settings.name,label for Name,Name,Nom
system.user.settings.passwordUpdated,Password change message on success,Password was successfully changed,Le mot de passe a été changé avec succès
system.user.settings.phonedNumberUpdated,Phone change message on success,Phone number updated,Numéro de téléphone mis à jour
system.user.settings.profileImage,Label for profile image,Profile Image,Image de profil
system.user.settings.systemLanguage,Label for system language,System language,Langue du système
system.user.unlock.pinLabel,Label for entering unlock user profile,Enter your pin,Entrez votre NIP
team.user.buttons.deactivate,Label for confirmation modal for user deactivation,Deactivate,Désactiver
team.user.buttons.reactivate,Label for confirmation modal for user reactivation,Reactivate,Réactiver
unlockApp.incorrectPin,The message displayed when a user enters an incorrect PIN,Incorrect pin. Please try again,Le code est incorrect. Veuillez réessayer
unlockApp.lastTry,The message displayed before the 3rd attempt of an incorrect PIN,Last try,Dernier essai
unlockApp.locked,The title displayed while creating a PIN,Your account has been locked. Please try again in 1 minute.,Votre compte a été verrouillé. Veuillez réessayer dans 1 minute.
user.avatar,Aria label for user avatar button,User avatar,Avatar utilisateur
user.form.buttons.submit,Label for submit button of user creation form,Create user,Créer un utilisateur
user.form.securityquestion.answer,,Answer,Répondre à
user.form.securityquestion.description,,"From the drop down lists below, select questions that can be used later to confirm your identity should you forget your password.","Dans les listes déroulantes ci-dessous, sélectionnez des questions qui pourront être utilisées ultérieurement pour confirmer votre identité si vous oubliez votre mot de passe."
user.form.securityquestion.enterResponse,,Enter a response to your chosen security question,Entrez une réponse à la question de sécurité que vous avez choisie
user.form.securityquestion.heading,,Set your security questions,Définissez vos questions de sécurité
user.form.securityquestion.securityQuestionLabel,,Security question {count},Question de sécurité {count}
user.form.securityquestion.selectSecurityQuestion,,Select a security question,Sélectionnez une question de sécurité
user.form.securityquestion.title,,Security questions,Questions de sécurité
user.profile.assignedOffice,Title for assigned office field,Assigned office,Bureau assigné
user.profile.audit.column.action,Title for audit action column,Action,Action
user.profile.audit.column.date,Title for audit date column,Date,Date
user.profile.audit.column.trackingId,Title for audit tracking id column,Record,Dossier
user.profile.audit.description.certified,Description for certified declaration,Certified,Certifié
user.profile.audit.description.declared,Description for complete declaration,Declaration started,Déclaration initiée
user.profile.audit.description.inProgress,Description for incomplete declaration,Sent incomplete,Envoyé incomplet
user.profile.audit.description.registered,Description for registered declaration,Registered,Enregistré
user.profile.audit.description.rejected,Description for rejected declaration,Rejected,Rejeté
user.profile.audit.description.updated,Description for updated declaration,Updated,Mise à jour de
user.profile.audit.description.validated,Description for validated declaration,Sent for approval,Déclaration envoyée pour approbation
user.profile.audit.list.noDataFound,Text for audit list,No audits to display,Aucun audit à afficher
user.profile.auditList.approvedCorrectionAuditAction,Description for record correction being approved,Approved correction request,Demande de correction approuvée
user.profile.auditList.archived,Description for declaration archived,Archived,Archivé
user.profile.auditList.assigned,Description for declaration assignment,Assigned,Assigné
user.profile.auditList.created,Description for created audit action,Created,Créé
user.profile.auditList.download,Description for download audit action,Downloaded record,Fichier téléchargé
user.profile.auditList.emailAddressChanged,Description for user change email,Email Address changed,L'adresse e-mail a été modifiée
user.profile.auditList.loggedIn,Description for user logged in,Logged in,Connecté
user.profile.auditList.loggedOut,Description for user logged out,Logged out,Déconnecté
user.profile.auditList.markedAsDuplicate,Description for marked as duplicate in audit action,Marked as duplicate,Marqué comme duplicata
user.profile.auditList.markedAsNotDuplicate,Description for marked as not duplicate in audit action,Marked as not duplicate,Marqué comme non doublon
user.profile.auditList.passwordChanged,Description for user change password,Password changed,Password changed
user.profile.auditList.passwordReset,Description for User reset password action,Reset password,Réinitialiser un mot de passe
user.profile.auditList.passwordResetByAdmin,Description for sending temporal password action,Sent password,Mot de passe envoyé
user.profile.auditList.phoneNumberChanged,Description for user change phoneNumber,Phone number changed,Changement de numéro de téléphone
user.profile.auditList.reInstatedToInProgress,Description for sending registration from Reinstated to In progress audit action,Reinstated to in progress,Réintégré dans les travaux en cours
user.profile.auditList.rejectedCorrectedAuditAction,Description for record correction being rejected,Rejected correction request,Demande de correction rejetée
user.profile.auditList.requestedCorrectionAuditAction,Description for record correction being requested,Requested correction,Correction demandée
user.profile.auditList.resendInvite,Description for resending user invite audit action,Resent invite,Invitation renvoyée
user.profile.auditList.search,Description for search audit action,Searched record,Enregistrement recherché
user.profile.auditList.unAssigned,Description for declaration not assigned to self,Unassigned,Non attribué
user.profile.auditList.userCreated,Description for User created action,Created user,Utilisateur créé
user.profile.auditList.userDeactivated,Description for User deactivated,Deactivated user,Utilisateur désactivé
user.profile.auditList.userEdited,Description for User edited action,Edited user,Utilisateur modifié
user.profile.auditList.userReactivated,Description for User reactivated,Reactivated user,Mot de passe modifié
user.profile.auditList.usernameReminderByAdmin,Description for send username reminder audit action,Sent username Reminder,Rappel du nom d'utilisateur envoyé
user.profile.auditList.usernameRequested,Description for User username requested audit action,Username reminder requested,Rappel du nom d'utilisateur demandé
user.profile.auditList.viewed,Description for declaration viewed audit action,Viewed,Vu
user.profile.nid,Title for nid,National ID,Carte d'identité nationale
user.profile.phoneNumber,Title for phoneNumber field,Phone number,Numéro de téléphone
user.profile.sectionTitle.audit,Title for audit section,History,Historique
user.profile.startDate,Title for startDate field,Start date,Date de début
user.profile.userName,Title for userName field,Username,Nom d'utilisateur
userSetup.complete.instruction,Instruction for the setup complete,Login to your account with your username and newly created password,Connectez-vous maintenant à votre compte avec votre nom d'utilisateur et votre mot de passe nouvellement créé.
userSetup.complete.title,Title for the setup complete page,Account setup complete,Configuration du compte terminée
userSetup.landing.instruction,Instruction for the account setup langing page,You are just a few steps away from completing your account set up,Vous n'êtes plus qu'à quelques étapes de la création de votre compte.
userSetup.landing.title,Title for the landing page,Welcome to {applicationName},Bienvenue à {applicationName}
userSetup.review.header,User setup review page subtitle,Confirm your details,Confirmez vos coordonnées
userSetup.review.title,User setup review page title,Your details,Vos coordonnées
userSetup.securityQuestions.birthTown,The description for BIRTH_TOWN key,What city were you born in?,Dans quelle ville êtes-vous né ?
userSetup.securityQuestions.favoriteFood,The description for FAVORITE_FOOD key,What is your favorite food?,Quel est votre plat préféré ?
userSetup.securityQuestions.favoriteMovie,The description for FAVORITE_MOVIE key,What is your favorite movie?,Quel est votre film préféré ?
userSetup.securityQuestions.favoriteSong,The description for FAVORITE_SONG key,What is your favorite song?,Quelle est votre chanson préférée ?
userSetup.securityQuestions.favoriteTeacher,The description for FAVORITE_TEACHER key,What is the name of your favorite school teacher?,Quel est le nom de votre professeur d'école préféré ?
userSetup.securityQuestions.firstChildName,The description for FIRST_CHILD_NAME key,What is your first child's name?,Quel est le nom de votre premier enfant ?
userSetup.securityQuestions.hightSchool,The description for HIGH_SCHOOL key,What is the name of your high school?,Quel est le nom de votre école secondaire ?
userSetup.securityQuestions.motherName,The description for MOTHER_NAME key,What is your mother's name?,Quel est le nom de votre mère ?
userSetup.type.healthSystem,The description for health system type,Health System,Système de santé
userSetup.type.hospital,The description for HOSPITAL type,Hospital,Hôpital
userSetup.type.system,The description for system type,System,Système
userSetup.waiting,The message that displays when the user is waiting for the account to be created,Setting up your account,Configuration de votre compte
v2.event.record.offline.description,Message shown on the Record page when the user is offline and the record has not been cached locally,This record has not been downloaded yet so it cannot be opened offline. Please reconnect to the internet to view it.,Cet enregistrement n’a pas encore été téléchargé et ne peut donc pas être ouvert hors ligne. Veuillez vous reconnecter à Internet pour le consulter.
v2.event.record.offline.title,Title shown on the Record page when the user is offline,No connection,Pas de connexion
v2.suspense.offline.description,Message shown when a screen cannot load because the user is offline and the data has not been cached locally,"This content has not been downloaded yet, so it cannot be shown offline. It will load automatically once you are back online.",Ce contenu n’a pas encore été téléchargé et ne peut donc pas être affiché hors ligne. Il se chargera automatiquement une fois que vous serez de nouveau en ligne.
v2.suspense.offline.title,Title shown on a loading screen when the user is offline,No connection,Pas de connexion
validations.phoneNumberFormat,The error message that appears on phone numbers where the first two characters must be a 01 and length must be 11,Must be a valid 10 digit number that starts with 0(7|9),Doit être un nombre valide de  {num} chiffres qui commence par  {start}
verified,This is the label for the verification field,Verified,Vérifié
verifyCertificate.brn,Label for Birth Registration Number,BRN,Numéro de régistre de naissance
verifyCertificate.dateOfBirth,Label for date of birth,Date of birth,Date de naissance
verifyCertificate.fullname,title for success alert for url validation,Full name,Nom et prénom
verifyCertificate.placeOfBirth,Label for place of birth,Place of birth,Lieu de naissance
verifyCertificate.sexMale,Option for form field: Sex name,Male,Homme
verifyCertificate.toastMessage,Message for the toast when time spend 1 minute,"After verifying the certificate, please close the browser window","Après avoir vérifié le certificat, veuillez fermer la fenêtre du navigateur."
views.idVerification.banner.actions.reset,,Reset,Réinitialiser
views.idVerification.banner.actions.revoke,,Revoke,Révoquer
views.idVerification.banner.authenticated.description,,"This identity has been successfully authenticated with the Farajaland’s National ID System. To make edits, please remove the authentication first.",Cette identité a été authentifiée avec succès avec le système national d'identité de Farajaland.
views.idVerification.banner.authenticated.resetConfirmation.description,,"By clicking ‘Continue,’ you’ll remove ID Authenticated status and unlock the fields for editing.","En cliquant sur «Continuer», vous supprimerez l'état authentifié de l'ID et déverrouillez les champs pour l'édition."
views.idVerification.banner.authenticated.resetConfirmation.title,,Revoke authenticated ID?,Révoquer une pièce d'identité authentifiée?
views.idVerification.banner.authenticated.title,,ID Authenticated,ID authentifié
views.idVerification.banner.failed.description,,The identity data does not match an entry in Farajaland's National ID System,Les données d'identité ne correspondent pas à une entrée du système national d'identification du Farajaland.
views.idVerification.banner.failed.resetConfirmation.description,,"By clicking ‘Continue,’ you’ll clear all information to it’s default state.","En cliquant sur «Continuer», vous effacerez toutes les informations de son état par défaut."
views.idVerification.banner.failed.resetConfirmation.title,,Reset information?,Réinitialiser les informations?
views.idVerification.banner.failed.title,,ID Verification Failed,La vérification d'identification a échoué
views.idVerification.banner.failedFetchIdDetails.description,Explains the failure to fetch individual details possibly due to network issues or incorrect ID information.,We were unable to retrieve the individuals details for the National ID System. Please try again.,Nous n'avons pas pu récupérer les détails des individus du système d'identification nationale. Veuillez réessayer.
views.idVerification.banner.failedFetchIdDetails.title,Displayed when fetching individual details from the National ID System fails.,Failed to retrieve individuals details,Échec de la récupération des détails des individus
views.idVerification.banner.verified.description,,"This identity data has been successfully verified with the Farajaland’s National ID System. Please note that their identity has not been authenticated using the individuals biometrics. To make edits, please remove the verification first.",Ces données d'identité ont été vérifiées avec succès avec le système national d'identification de Farajaland.
views.idVerification.banner.verified.resetConfirmation.description,,"By clicking ‘Continue,’ you’ll remove ID Verified status and unlock the fields for editing.","En cliquant sur «Continuer», vous supprimerez l'état de l'ID vérifié et déverrouillez les champs pour l'édition."
views.idVerification.banner.verified.resetConfirmation.title,,Revoke valid ID?,Révoquer une pièce d'identité valide?
views.idVerification.banner.verified.title,,ID Verified,Id vérifié
views.qrReader.button,Button to scan QR code,Scan QR code,Scanner le code QR
views.qrReader.scannerDialogSupportingCopy,Supporting copy for the scanner dialog,Place the Notifier's ID card in front of the camera.,Placez la carte d'identité du notificateur devant la caméra.
views.qrReader.tutorial.cameraCleanliness,Camera cleanliness tutorial,Ensure your camera is clean and functional.,Assurez-vous que votre appareil photo est propre et fonctionnel.
views.qrReader.tutorial.distance,Distance tutorial,Hold the device steadily 6-12 inches away from the QR code.,Tenez l'appareil régulièrement à 6 à 12 pouces du code QR.
views.qrReader.tutorial.lightBalance,Light balance tutorial,Ensure the QR code is well-lit and not damaged or blurry.,Assurez-vous que le code QR est bien éclairé et non endommagé ou flou.
workqueues.dateOfEvent,Label for workqueue column: dateOfEvent,Date of Event,Date de l'événement
workqueues.draft.title,Title of draft workqueue,Drafts,Brouillons
workqueues.outbox.title,Title of outbox workqueue,Outbox,Boîte d'envoi
