division,district,upazila,union,A2IReference,facilityNameBengali,facilityNameEnglish,facilityTypeBengali,facilityTypeEnglish,email,phone,type
Dhaka,Gazipur,Gazipur Sadar,,division=3&district=20&upazila=163,শহীদ তাজউদ্দিন আহমেদ মেডিকেল কলেজ হাসপাতাল,Shaheed Taj Uddin Ahmad Medical College,মেডিকেল কলেজ,HEALTH_FACILITY,ggazipurmc@ac.dghs.gov.bd,01711220636
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165,ইউনিয়ন হেলথ অ্যান্ড ফ্যামিলি ওয়েলফেয়ার সেন্টার (এউএইচ অ্যান্ড এফডবলিওসি) মক্তারপুর কালিগঞ্জ গাজীপুর.,UH & FWC makterpur,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,sanjida.ealy@gmail.com,01970107020
Dhaka,Gazipur,Kaliganj,Jangalia,division=3&district=20&upazila=165,ইউনিয়ন হেলথ অ্যান্ড ফ্যামিলি ওয়েলফেয়ার সেন্টার (এউএইচ অ্যান্ড এফডবলিওসি) জাঙ্গালিয়া কালিগঞ্জ গাজীপুর.,UH & FWC Jangalia,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,sanjida.ealy@gmail.com,01970107020
Dhaka,Gazipur,Kaliganj,Tumulia,division=3&district=20&upazila=165,ইউনিয়ন হেলথ অ্যান্ড ফ্যামিলি ওয়েলফেয়ার সেন্টার (এউএইচ অ্যান্ড এফডবলিওসি) তুমুলিয়া কালিগঞ্জ গাজীপুর.,UH & FWC Tumolia,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,,01970107020
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,খইকরা সিসি - কালিগঞ্জ,Khoikora CC - Kaliganj,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10024556@cc.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,কালিগঞ্জ (জিপি) মুন,Kaliganj (GP) Mun.,উপজেলা পর্যায়ের অফিস,HEALTH_FACILITY,,
Dhaka,Narsingdi,Narsingdi,Urban Ward No-04,division=3&district=29&upazila=229,আল্গি (মাধাব্দি) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,Algi(madhabdi) Union Sub Center,ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,algi_madhabdi@usc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Amdia,division=3&district=29&upazila=229,আমদিয়া উপ-স্বাস্থ্য কেন্দ্র,Amdia Union Sub Center,ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,amdia@usc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,ভাগিরাথপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,Bhagirathpur Union Sub Center,ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,bhagirathpur@usc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Hajipur,division=3&district=29&upazila=229,ভাটপারা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,Bhatpara Union Sub Center,ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,bhatpara@usc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Karimpur,division=3&district=29&upazila=229,করিমপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,Karimpur Union Sub Center,ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,karimpur@usc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,নরসিংদী সদর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,Narsingdi Sadar Union Sub Center,ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,narsingdisadar@usc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,নরসিংদী (সদর) উপজেলা স্বাস্থ্য অফিস,Narsingdi (sadar) Upazila Health Office,উপজেলা পর্যায়ের অফিস,HEALTH_FACILITY,narsingdisadar@uhfpo.dghs.gov.bd,01712221651
Dhaka,Narsingdi,Narsingdi,Urban Ward No-01 (narsingdi),division=3&district=29&upazila=229,নরসিংদী সিভিল সার্জন অফিস,Narsingdi Civil Surgeon Office,জেলা পর্যায়ের অফিস,HEALTH_FACILITY,norshingdi@cs.dghs.gov.bd,01797000888
Dhaka,Narsingdi,Narsingdi,,division=3&district=29&upazila=229,নরসিংদী জেলা হসপিটাল,Narsingdi District Hospital,জেলা হাসপাতাল,HEALTH_FACILITY,narsingdi@hospi.dghs.gov.bd,01797000888
Dhaka,Narsingdi,Narsingdi,Urban Ward No-01 (narsingdi),division=3&district=29&upazila=229,নরসিংদী ১০০ বেড জেলা হসপিটাল,Narsingdi 100 Bed Zilla Hospital,জেলা হাসপাতাল,HEALTH_FACILITY,n100b@hospi.dghs.gov.bd,01730324787
Dhaka,Narsingdi,Narsingdi,Alokbali,division=3&district=29&upazila=229,চরমাধবপুর (বাখারনগর) সিসি - নরসিংদী সদর,Charmadhabpur(bakharnagar) Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006853@cc.dghs.gov.bd,01749464912
Dhaka,Narsingdi,Narsingdi,Alokbali,division=3&district=29&upazila=229,খোদাদিলা সিসি – নরসিংদী সদর,Khodadila Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006854@cc.dghs.gov.bd,
Dhaka,Narsingdi,Narsingdi,Amdia,division=3&district=29&upazila=229,বেলাব (ভাইয়ুম) সিসি - নরসিংদী সদর,Belab (bhaiyum) Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006855@cc.dghs.gov.bd,01731603510
Dhaka,Narsingdi,Narsingdi,Amdia,division=3&district=29&upazila=229,গলাদি সিসি - নরসিংদী সদর,Goaldi Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006856@cc.dghs.gov.bd,01920561874
Dhaka,Narsingdi,Narsingdi,Amdia,division=3&district=29&upazila=229,পাকুরিয়া সিসি - নরসিংদী সদর,Pakuriya Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006857@cc.dghs.gov.bd,01756042732
Dhaka,Narsingdi,Narsingdi,Char Dighaldi,division=3&district=29&upazila=229,কালিকাপুর সিসি - নরসিংদী সদর,Kalikapur Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006858@cc.dghs.gov.bd,01814971429
Dhaka,Narsingdi,Narsingdi,Chinishpur,division=3&district=29&upazila=229,চিনিসপুর সিসি - নরসিংদী সদর,Chinishpur Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006859@cc.dghs.gov.bd,01814760020
Dhaka,Narsingdi,Narsingdi,Chinishpur,division=3&district=29&upazila=229,ঘোরাদিয়া সিসি - নরসিংদী সদর,Ghoradiya Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006860@cc.dghs.gov.bd,0174952751
Dhaka,Narsingdi,Narsingdi,Hajipur,division=3&district=29&upazila=229,বাদারপুর সিসি - নরসিংদী সদর,Badarpur Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006861@cc.dghs.gov.bd,01917278312
Dhaka,Narsingdi,Narsingdi,Hajipur,division=3&district=29&upazila=229,হাজিপুর সিসি - নরসিংদী সদর,Hajipur Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006862@cc.dghs.gov.bd,01926150848
Dhaka,Narsingdi,Narsingdi,Kanthalia,division=3&district=29&upazila=229,দাউকাদি সিসি - নরসিংদী সদর,Daukadi Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006863@cc.dghs.gov.bd,01914361436
Dhaka,Narsingdi,Narsingdi,Kanthalia,division=3&district=29&upazila=229,খামারদি সিসি - নরসিংদী সদর,Khamardi Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006864@cc.dghs.gov.bd,01726913068
Dhaka,Narsingdi,Narsingdi,Karimpur,division=3&district=29&upazila=229,পঞ্চবতি সিসি - নরসিংদী সদর,Panchabati Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006865@cc.dghs.gov.bd,01726075450
Dhaka,Narsingdi,Narsingdi,Karimpur,division=3&district=29&upazila=229,রাসুলপুর সিসি - নরসিংদী সদর,Rasulpur Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006866@cc.dghs.gov.bd,01974920321
Dhaka,Narsingdi,Narsingdi,Karimpur,division=3&district=29&upazila=229,শ্রীনগর মধ্যপাড়া সিসি - নরসিংদী সদর,Sreenagar Madhyapara Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006867@cc.dghs.gov.bd,01913153223
Dhaka,Narsingdi,Narsingdi,Mahishasura,division=3&district=29&upazila=229,বালুচর সিসি - নরসিংদী সদর,Baluchar Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006868@cc.dghs.gov.bd,01675788144
Dhaka,Narsingdi,Narsingdi,Mahishasura,division=3&district=29&upazila=229,চান্দেরপাড়া সিসি - নরসিংদী সদর,Chanderpara Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006869@cc.dghs.gov.bd,01712508717
Dhaka,Narsingdi,Narsingdi,Mahishasura,division=3&district=29&upazila=229,দরিগাজিরগাঁও সিসি - নরসিংদী সদর,Dorigazirgaon Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006870@cc.dghs.gov.bd,01917677441
Dhaka,Narsingdi,Narsingdi,Mahishasura,division=3&district=29&upazila=229,কোটালিচর সিসি - নরসিংদী সদর,Kotalichor(bilpar) Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006871@cc.dghs.gov.bd,01932469056
Dhaka,Narsingdi,Narsingdi,Mahishasura,division=3&district=29&upazila=229,মহিষাসুরাগ্রাম সিসি - নরসিংদী সদর,Mahishashuragram Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006872@cc.dghs.gov.bd,01930731121
Dhaka,Narsingdi,Narsingdi,Meher Para,division=3&district=29&upazila=229,মেহেরপুরা সিসি - নরসিংদী সদর,Meherpara Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006873@cc.dghs.gov.bd,01913271278
Dhaka,Narsingdi,Narsingdi,Meher Para,division=3&district=29&upazila=229,সর্পনিগৈর সিসি - নরসিংদী সদর,Sbarpanigair Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006874@cc.dghs.gov.bd,01196179612
Dhaka,Narsingdi,Narsingdi,Nazarpur,division=3&district=29&upazila=229,ছাগরিয়াপারা - নরসিংদী সদর,Chhagriyapara Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006875@cc.dghs.gov.bd,01945717848
Dhaka,Narsingdi,Narsingdi,Nazarpur,division=3&district=29&upazila=229,দিলারপুর - নরসিংদী সদর,Dilarpur (alipur School Cc) - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006876@cc.dghs.gov.bd,01981807643
Dhaka,Narsingdi,Narsingdi,Nazarpur,division=3&district=29&upazila=229,দিলারপুর ঈদগাহ - নরসিংদী সদর,Dilarpur Eidgah Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006877@cc.dghs.gov.bd,01884606135
Dhaka,Narsingdi,Narsingdi,Nazarpur,division=3&district=29&upazila=229,জামালিয়াকান্দি - নরসিংদী সদর,Jamaliyakandi Cc - Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006878@cc.dghs.gov.bd,01906477092
Dhaka,Narsingdi,Narsingdi,Paikar Char,division=3&district=29&upazila=229,নর্থ চর বাশানিয়া - নরসিংদী সদর,North Char Bashania Cc. Narsingdi Sadar,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10006879@cc.dghs.gov.bd,01717357621
