statisticalID,name,partOf,code,physicalType
bhNMagz9WhD,Mufulira District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
G2nVDIpA0mE,Ndola District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
Vra182PfVXT,Chadiza District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
bPggpIUH2Bw,Chipata District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
Y5Qs8ZnXPo7,Katete District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
l7kwddqAUuV,Lundazi District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
eL16jL32aft,Mambwe District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
f2v64XQg4O6,Nyimba District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
MHol2AAQxSL,Petauke District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
Gk1xAY3wm9w,Sinda District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
Pq4OSjJIF4z,Vubwi District,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
ntoX1PkiWri,Chilanga District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
SvFNQpplnch,Chirundu District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
NLjvK1QsrN3,Chongwe District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
hywxVKv48Xp,Kafue District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
MQrVneDhKKn,Luangwa District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
o8B4Up9xxJI,Lusaka District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
X8wgqN4p9l9,Rufunsa District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
jNFgOiE4moz,Shibuyunji District,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
QTtxiWj8ONP,Chembe District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
Oapn6R4rt3D,Chienge District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
idR0pJWLqcR,Chifunabuli District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
jCJxK8sFH40,Chipili District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
bjCC79pZC5f,Kawambwa District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
oFvkx78MhC9,Lunga District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
RXl1ctHnd1A,Mansa District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
bW1rTUYvPMz,Milenge District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
cLYG2oIinWU,Mwansabombwe District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
na58mHU96zc,Mwense District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
o0jgNBf8WkJ,Nchelenge District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
ibwukc3IOtw,Samfya District,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
ydyJb1RAy4U,Chama District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
nO68NTtcdw2,Chinsali District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
FuvOOwvBw0p,Isoka District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
R22tRIhdm5Y,Kanchibiya District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
FN09WGc823z,Lavushimanda District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
rsnNQkFGMcj,Mafinga District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
WUGwOojuXhn,Mpika District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
VwikQC0hLMx,Nakonde District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
QZt3FzaOkx9,Shiwang'andu District,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
zVGDJflzhPb,Chilubi District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
dp5cPWW6xv8,Kaputa District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
P7NaqvIQyOs,Kasama District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
FCCqOu1ovY9,Lunte District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
TPkxPw2bhI8,Luwingu District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
EdEpJ41rhF6,Mbala District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
rmtQCSpiaGq,Mporoko District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
e89vE6G7gSP,Mpulungu District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
UE7BZCcd4ru,Mungwi District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
U0FqpXTYwNn,Nsama District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
NuLyVjY7fQv,Senga District,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
BdX6cE5mRtc,Chavuma District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
qKkhij0V9Wb,Ikelenge District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
Q2vsyZtjCKw,Kabompo District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
M5iSsoZlMCg,Kalumbila,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
Y6VY97xzyvw,Kasempa District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
ezPzz97CaXr,Manyinga District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
svOkUE0zEKJ,Mufumbwe District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
PudjamhkCta,Mushindamo,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
weCNzKLpK2o,Mwinilunga District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
OAqKXOIWje0,Solwezi District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
BF2UmDQqcjZ,Zambezi District,Location/q5hODNmn021,ADMIN_STRUCTURE,Jurisdiction
grvG4PUGBwQ,Chikankata District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
XGrRE6z2k1p,Choma District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
TKOOF8cvLah,Gwembe District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
MwFm7Ir4vzI,Kalomo District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
hMOurLMZjoX,Kazungula District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
DM5Sjew7MCn,Livingstone District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
k3q47RyPfIf,Mazabuka District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
NRs3xBI4qF6,Monze District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
Xuov31JWDss,Namwala District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
mJa1jLXRrrK,Pemba District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
Q9ewrtYhNOv,Siavonga District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
v5q6MnxfJHT,Sinazongwe District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
h1YXoH8lV3A,Zimba District,Location/oPLMrarKeEY,ADMIN_STRUCTURE,Jurisdiction
dPAa9yBDF5m,Kalabo District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
kMIsLurEHGC,Kaoma District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
oyW7RtZeyts,Limulunga District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
PN8pr9gsQ6d,Luampa District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
yuZxGzmJmJx,Lukulu District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
HefsNe70KUl,Mitete District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
xu3OhvvaqO2,Mongu District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
N7Zb9bZIFfU,Mulobezi District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
NBWNnxGW6MO,Mwandi District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
XAAy2m8nuK4,Nalolo District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
STo5teksHbj,Nkeyema District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
H8e2u6ULtJn,Senanga District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
vbwN4b2ls0C,Sesheke District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
aowwl8HXAPF,Shang'ombo District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
UdwuRGdGJVT,Sikongo District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
ezsliaw6gka,Sioma District,Location/g1bv2xjtV0w,ADMIN_STRUCTURE,Jurisdiction
